epoch,step,train_loss,val_acc,val_loss
0,9,1.9961134195327759,,
0,10,,0.2933333218097687,2.0453364849090576
1,19,1.5322787761688232,,
1,21,,0.5400000214576721,1.8440181016921997
2,29,1.3683555126190186,,
2,32,,0.6933333277702332,1.5101641416549683
3,39,1.3229788541793823,,
3,43,,0.7599999904632568,1.2028000354766846
4,49,1.0042661428451538,,
4,54,,0.800000011920929,1.0028486251831055
5,59,0.929494321346283,,
5,65,,0.8066666722297668,0.8652951121330261
6,69,0.8650503158569336,,
6,76,,0.800000011920929,0.7790015935897827
7,79,0.6393772959709167,,
7,87,,0.7866666913032532,0.7240086197853088
8,89,0.7221426963806152,,
8,98,,0.8133333325386047,0.6723155975341797
9,99,0.5895556807518005,,
9,109,0.6279793977737427,,
9,109,,0.8133333325386047,0.6473204493522644
10,119,0.44798362255096436,,
10,120,,0.8266666531562805,0.6199911832809448
11,129,0.44040608406066895,,
11,131,,0.8199999928474426,0.5983390808105469
12,139,0.36386051774024963,,
12,142,,0.8399999737739563,0.5608311891555786
13,149,0.48819127678871155,,
13,153,,0.8199999928474426,0.5510880351066589
14,159,0.5489721298217773,,
14,164,,0.8266666531562805,0.5284824967384338
15,169,0.5264376997947693,,
15,175,,0.8266666531562805,0.5240271091461182
16,179,0.40910306572914124,,
16,186,,0.8266666531562805,0.5196894407272339
17,189,0.3980403244495392,,
17,197,,0.8199999928474426,0.5165404081344604
18,199,0.29002645611763,,
18,208,,0.8333333134651184,0.5131368637084961
19,209,0.31393930315971375,,
19,219,0.3246571719646454,,
19,219,,0.8199999928474426,0.5107652544975281
20,229,0.30958136916160583,,
20,230,,0.8333333134651184,0.5088419318199158
21,239,0.26575398445129395,,
21,241,,0.8066666722297668,0.5247233510017395
22,249,0.23205745220184326,,
22,252,,0.8199999928474426,0.5241767168045044
23,259,0.40245872735977173,,
23,263,,0.8133333325386047,0.5025125741958618
24,269,0.29316914081573486,,
24,274,,0.8133333325386047,0.4956616163253784
25,279,0.2650114893913269,,
25,285,,0.8199999928474426,0.4998458921909332
26,289,0.17873618006706238,,
26,296,,0.8066666722297668,0.5065934062004089
27,299,0.2542402744293213,,
27,307,,0.8066666722297668,0.5124395489692688
28,309,0.28286075592041016,,
28,318,,0.8133333325386047,0.5062128901481628
29,319,0.2880915403366089,,
29,329,0.20123499631881714,,
29,329,,0.8266666531562805,0.4966067373752594
