epoch,step,train_loss,val_acc,val_loss
0,9,2.0735597610473633,,
0,10,,0.273333340883255,2.0397653579711914
1,19,1.5311154127120972,,
1,21,,0.4399999976158142,1.847910761833191
2,29,1.4537463188171387,,
2,32,,0.699999988079071,1.476716160774231
3,39,1.1916898488998413,,
3,43,,0.8199999928474426,1.133150577545166
4,49,1.189339518547058,,
4,54,,0.8733333349227905,0.8986893892288208
5,59,0.9159773588180542,,
5,65,,0.8799999952316284,0.7380475997924805
6,69,0.8347116708755493,,
6,76,,0.9066666960716248,0.6317023634910583
7,79,0.634785532951355,,
7,87,,0.8933333158493042,0.5563876628875732
8,89,0.6928194165229797,,
8,98,,0.9066666960716248,0.4961438477039337
9,99,0.6554635763168335,,
9,109,0.5874855518341064,,
9,109,,0.9066666960716248,0.44606149196624756
10,119,0.6191513538360596,,
10,120,,0.9133333563804626,0.40758782625198364
11,129,0.5048808455467224,,
11,131,,0.9200000166893005,0.38955602049827576
12,139,0.4750581681728363,,
12,142,,0.9333333373069763,0.371669739484787
13,149,0.5793976783752441,,
13,153,,0.9133333563804626,0.35485929250717163
14,159,0.3693780303001404,,
14,164,,0.9066666960716248,0.33505377173423767
15,169,0.46382829546928406,,
15,175,,0.8933333158493042,0.3317352831363678
16,179,0.28910791873931885,,
16,186,,0.8933333158493042,0.32043054699897766
17,189,0.35745978355407715,,
17,197,,0.9066666960716248,0.31727224588394165
18,199,0.3078114688396454,,
18,208,,0.8933333158493042,0.31311705708503723
19,209,0.31247031688690186,,
19,219,0.32516607642173767,,
19,219,,0.8999999761581421,0.2973683774471283
20,229,0.3382875621318817,,
20,230,,0.8999999761581421,0.2919253408908844
21,239,0.2771686315536499,,
21,241,,0.8999999761581421,0.29299500584602356
22,249,0.3209454417228699,,
22,252,,0.8999999761581421,0.2962099015712738
23,259,0.1871912181377411,,
23,263,,0.8933333158493042,0.2870562672615051
24,269,0.2759929299354553,,
24,274,,0.9066666960716248,0.27604565024375916
25,279,0.16952355206012726,,
25,285,,0.8799999952316284,0.29720479249954224
26,289,0.3406582772731781,,
26,296,,0.8866666555404663,0.2813819944858551
27,299,0.26915398240089417,,
27,307,,0.8933333158493042,0.2619681656360626
28,309,0.2173628807067871,,
28,318,,0.8866666555404663,0.2638179063796997
29,319,0.21689672768115997,,
29,329,0.2341233789920807,,
29,329,,0.9066666960716248,0.2678031027317047
30,339,0.2851022779941559,,
30,340,,0.9133333563804626,0.2707423269748688
31,349,0.26427242159843445,,
31,351,,0.9066666960716248,0.2671947181224823
32,359,0.19515183568000793,,
32,362,,0.8866666555404663,0.2650292217731476
