epoch,step,train_loss,val_acc,val_loss
0,9,1.93571937084198,,
0,10,,0.20000000298023224,2.029664993286133
1,19,1.4437291622161865,,
1,21,,0.5,1.796305537223816
2,29,1.2622311115264893,,
2,32,,0.7066666483879089,1.4137521982192993
3,39,1.1925342082977295,,
3,43,,0.7133333086967468,1.0926674604415894
4,49,0.9849520325660706,,
4,54,,0.753333330154419,0.9302144646644592
5,59,0.9456285238265991,,
5,65,,0.7799999713897705,0.8428197503089905
6,69,0.9445196390151978,,
6,76,,0.7933333516120911,0.7666367888450623
7,79,0.7462345361709595,,
7,87,,0.8066666722297668,0.6999632716178894
8,89,0.7634637355804443,,
8,98,,0.800000011920929,0.6557177901268005
9,99,0.727817714214325,,
9,109,0.6403119564056396,,
9,109,,0.8333333134651184,0.6100336909294128
10,119,0.7416390180587769,,
10,120,,0.8399999737739563,0.5884965062141418
11,129,0.5015865564346313,,
11,131,,0.846666693687439,0.5713609457015991
12,139,0.5916599035263062,,
12,142,,0.8399999737739563,0.5476589798927307
13,149,0.43733540177345276,,
13,153,,0.8266666531562805,0.5243727564811707
14,159,0.5672490000724792,,
14,164,,0.8399999737739563,0.5047231316566467
15,169,0.4991503059864044,,
15,175,,0.8399999737739563,0.4845633804798126
16,179,0.5486292243003845,,
16,186,,0.8533333539962769,0.46654224395751953
17,189,0.5154716372489929,,
17,197,,0.8399999737739563,0.4642447829246521
18,199,0.47294753789901733,,
18,208,,0.8333333134651184,0.48081034421920776
19,209,0.3232082724571228,,
19,219,0.49012985825538635,,
19,219,,0.8399999737739563,0.486807256937027
20,229,0.37669920921325684,,
20,230,,0.8399999737739563,0.47445088624954224
21,239,0.3636692762374878,,
21,241,,0.8333333134651184,0.4698086977005005
22,249,0.2797945737838745,,
22,252,,0.8333333134651184,0.4621257483959198
23,259,0.3834935128688812,,
23,263,,0.846666693687439,0.469781756401062
24,269,0.4589928686618805,,
24,274,,0.8333333134651184,0.470572829246521
25,279,0.39260146021842957,,
25,285,,0.8199999928474426,0.46719273924827576
26,289,0.2765684127807617,,
26,296,,0.8266666531562805,0.4649899899959564
27,299,0.23074275255203247,,
27,307,,0.8333333134651184,0.47797226905822754
