epoch,step,train_loss,val_acc,val_loss
0,9,1.690693736076355,,
0,10,,0.46666666865348816,1.9559913873672485
1,19,1.4047385454177856,,
1,21,,0.7400000095367432,1.5908116102218628
2,29,1.4063377380371094,,
2,32,,0.8266666531562805,1.1755985021591187
3,39,1.0200680494308472,,
3,43,,0.846666693687439,0.9141620993614197
4,49,0.9048941135406494,,
4,54,,0.8600000143051147,0.7854599952697754
5,59,0.7269839644432068,,
5,65,,0.8600000143051147,0.6947312355041504
6,69,0.7993199825286865,,
6,76,,0.8666666746139526,0.6219079494476318
7,79,0.6085667014122009,,
7,87,,0.8799999952316284,0.5554680824279785
8,89,0.525865912437439,,
8,98,,0.8933333158493042,0.5003790259361267
9,99,0.5670283436775208,,
9,109,0.4882143437862396,,
9,109,,0.8866666555404663,0.461819052696228
10,119,0.6272741556167603,,
10,120,,0.9066666960716248,0.4300718307495117
11,129,0.5079874396324158,,
11,131,,0.9066666960716248,0.40253007411956787
12,139,0.42289021611213684,,
12,142,,0.8866666555404663,0.3802790939807892
13,149,0.38827764987945557,,
13,153,,0.8799999952316284,0.36869803071022034
14,159,0.4553796648979187,,
14,164,,0.8999999761581421,0.3508128523826599
15,169,0.26962926983833313,,
15,175,,0.8999999761581421,0.3362596333026886
16,179,0.32626548409461975,,
16,186,,0.8999999761581421,0.3260270059108734
17,189,0.27334970235824585,,
17,197,,0.8933333158493042,0.30796682834625244
18,199,0.2908474802970886,,
18,208,,0.8999999761581421,0.30682528018951416
19,209,0.3190634250640869,,
19,219,0.37052372097969055,,
19,219,,0.8933333158493042,0.30583760142326355
20,229,0.28694069385528564,,
20,230,,0.8933333158493042,0.29530805349349976
21,239,0.257561057806015,,
21,241,,0.8933333158493042,0.28893205523490906
22,249,0.28414806723594666,,
22,252,,0.8866666555404663,0.289785236120224
23,259,0.27581503987312317,,
23,263,,0.8999999761581421,0.28442251682281494
24,269,0.25799405574798584,,
24,274,,0.8999999761581421,0.27162665128707886
25,279,0.2866879999637604,,
25,285,,0.9066666960716248,0.2688509225845337
26,289,0.2011985182762146,,
26,296,,0.9133333563804626,0.2680589258670807
27,299,0.1684497594833374,,
27,307,,0.9133333563804626,0.2654704749584198
28,309,0.2836584150791168,,
28,318,,0.9133333563804626,0.2609829008579254
29,319,0.16313810646533966,,
29,329,0.2605047821998596,,
29,329,,0.8999999761581421,0.2619931101799011
30,339,0.25164568424224854,,
30,340,,0.9133333563804626,0.2596357464790344
31,349,0.3526513874530792,,
31,351,,0.9066666960716248,0.252587229013443
32,359,0.13467732071876526,,
32,362,,0.9133333563804626,0.2594258487224579
33,369,0.10545189678668976,,
33,373,,0.9133333563804626,0.2682410180568695
34,379,0.16170205175876617,,
34,384,,0.9200000166893005,0.2617475390434265
35,389,0.14262965321540833,,
35,395,,0.9066666960716248,0.26599934697151184
36,399,0.10390908271074295,,
36,406,,0.9066666960716248,0.25974246859550476
